"","comments","event","Date"
"9964","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t get this vaccine . It is a mind control substance .","Pfizer Children","2021-05-11"
"9965","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t get this vaccine . It is a mind control substance .","Pfizer Children","2021-05-11"
"9966","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t get this vaccine . It is a mind control substance .","Pfizer Children","2021-05-11"
"9967","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t get this vaccine . It is a mind control substance .","Pfizer Children","2021-05-11"
"9968","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t get this vaccine . It is a mind control substance .","Pfizer Children","2021-05-11"
"9969","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t get this vaccine . It is a mind control substance .","Pfizer Children","2021-05-11"
"9970","What is going on","Pfizer Children","2021-05-11"
"9971","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t get this vaccine . It is a mind control substance .","Pfizer Children","2021-05-11"
"9972","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t get this vaccine . It is a mind control substance .","Pfizer Children","2021-05-11"
"9973","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t get this vaccine . It is a mind control substance .","Pfizer Children","2021-05-11"
"9974","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t get this vaccine . It is a mind control substance .","Pfizer Children","2021-05-11"
"9975","channel 666 this is what the identity of this is","Pfizer Children","2021-05-11"
"9976","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t get this vaccine . It is a mind control substance .","Pfizer Children","2021-05-11"
"9977","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t get this vaccine . It is a mind control substance .","Pfizer Children","2021-05-11"
"9978","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t get this vaccine . It is a mind control substance .","Pfizer Children","2021-05-11"
"9979","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t","Pfizer Children","2021-05-11"
"9980","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t","Pfizer Children","2021-05-11"
"9981","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t","Pfizer Children","2021-05-11"
"9982","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t","Pfizer Children","2021-05-11"
"9983","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t","Pfizer Children","2021-05-11"
"9984","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t","Pfizer Children","2021-05-11"
"9985","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t","Pfizer Children","2021-05-11"
"9986","the devil is your enemy . He you to feed your life off of hate and suffering . Don ' t","Pfizer Children","2021-05-11"
"9987","Unapproved , experimental vaccine ... this vaccine is all ...","Pfizer Children","2021-05-11"
"9988","and god will protect you against the devil . Not this vaccine","Pfizer Children","2021-05-11"
"9989","and god will protect you against the devil . Not this vaccine","Pfizer Children","2021-05-11"
"9990","and god will protect you against the devil . Not this vaccine","Pfizer Children","2021-05-11"
"9991","This is unnecessary and so so wrong","Pfizer Children","2021-05-11"
"9992","Race to ? is wrong with you ? this is sickening and sad .","Pfizer Children","2021-05-11"
"9993","why is this classified as for ' emergency use '? if its just medicine and supposed to be safe ?","Pfizer Children","2021-05-10"
"9994",". These are MOSTLY VERY HEALTHY ! SHOT - UP w / an experimental , NON - weapon : WHY ?","Pfizer Children","2021-05-18"
"9995","If my doctor a non drug he would lose his license and probably go to jail . Yet here we are into giving out these non - and no one bats an eye . There ' s something seriously wrong with this entire scam . No juice for me , thank you very much .","Pfizer Children","2021-05-11"
"9996","Not my child .","Pfizer Children","2021-05-11"
"9997","cause ALL disease !!!!! Vaccine choice !!!! Abolishment NOW","Pfizer Children","2021-05-10"
"9998",", tell me sweet little ..","Pfizer Children","2021-05-10"
"9999","You want to risk your child ’ s natural immune system for a trial ? Please don ’ t .","Pfizer Children","2021-05-10"
"10000","They are pushing this "" emergency use "" vaccine harder than a crack dealer crack in the 80 ' s . And to ?? I thought that they were not as affected by the covid . Make your up .","Pfizer Children","2021-05-10"
"10001","are next","Pfizer Children","2021-05-11"
"10002","MILLSTONE FOR THE OF THOSE FROM GOD !!!!!! CORONA = 66 6 in CORONA [ A Covid 19 Vaccine ] in Gematria : 666 Revelation 13 : 18 King Version 18 Here is wisdom . Let him that hath understanding count the number of the beast : for it is the number of a man ; and his number is Six hundred threescore and six . Revelation 14 : 11 King Version 11 And the smoke of their torment up for ever and ever : and they have no rest day nor night , who worship the beast and his image , and the mark of his name . 1 . LIGHT or CORONA or CROWN will shine no more in thee . 2 . Voice of the bridegroom ( ) will be no more in thee . 3 . All by her or !!!!!","Pfizer Children","2021-05-11"
"10003","Not much more than 1 million people in taken this in the first place . So you want 1 million more just in now but only 1 million we ’ re into it in the first place ! That you seem creepy hyper on doing something to the .","Pfizer Children","2021-05-11"
"10004","I have a friend who took this . She randomly control of her . Her left arm just around like disease . Its funny how the are all around ready to give you the jab , but once you start getting sick or have strange , they are nowhere to be found . They wont have to do with her now . Dont call us , well call you .","Pfizer Children","2021-05-10"
"10005","THIS IS WRONG ! All these have not animal since 2005 ! not of these , they were given a emergency use authorization ( ) only ! THIS SI WRONG TO THE CORE !!!","Pfizer Children","2021-05-10"
"10006","It is not , it is a for those want to take the risk .","Pfizer Children","2021-05-10"
"10007","They do not need it .","Pfizer Children","2021-05-10"
"10008","This is correct , but not truthful ! The made eligible for , but the ARE NOT ! They are for emergency use only . Now the question we have to ask ourselves is : how long does an emergency last ?","Pfizer Children","2021-05-11"
"10009","are next","Pfizer Children","2021-05-11"
"10010","Totally Insane ! father and mother people wake up . Stop jab for !","Pfizer Children","2021-05-10"
"10011","How about informed consent , instead of lying and calling it a "" vaccine ""! It is an injection of gene therapy and big is human right now . The actual clinical ' t even complete until 2023 ! Emergency Use Authorization is for an emergency which we no longer have . Endemic not Pandemic . How about instead of pushing poison you the media tell people about all the and the shot is causing and teens ! SHAME ON YOU ! God will deal with every single one of you this lie that is causing harm !","Pfizer Children","2021-05-10"
"10012","Bill said so !","Pfizer Children","2021-05-10"
"10013","Now they want to the ... thats evil !","Pfizer Children","2021-05-10"
"10014","The benefit the risk FOR WHOM ? Not the 12 yr old . And the the one that had for ? I have a 15 yr old , and I want to see every and board member inject their own , first .","Pfizer Children","2021-05-10"
"10015","are next","Pfizer Children","2021-05-11"
"10016","don ' t need the vaccine they will not die if they get covid - 19 might if they get the vaccine","Pfizer Children","2021-05-10"
"10017","Can ’ t wait to get my shot","Pfizer Children","2021-05-11"
"10018","Who ever in their right mind would do this to a CHILD .. people have got to be under some of mass delusion , or hypnosis , to think this ’ t criminal ... Shame on these reading !!","Pfizer Children","2021-05-10"
"10019","today ☺️ Please , Please 🥺 go to getting your their Covin - 19 vaccine for 17 to 9yrs old Phi the 19 vaccine from 12th grade down to 5th grade or fourth grade please go get your child or teen tween so that they don ' t get sick and die go get their two they need ! 👍🤒🤧🥴🤮😉🤗👉👩‍⚕️🛏️💉🧫🧪🔬🥼🏄🏂🚴🏇🧚🧗👲🧒🧑","Pfizer Children","2021-05-11"
"10020","..","Pfizer Children","2021-05-10"
"10021","are next","Pfizer Children","2021-05-10"
"10022","Giving your a rushed test vaccine thats not with no long term is child abuse","Pfizer Children","2021-05-10"
"10023","When will Big STOP looking for extra ? Leave our alone ! are more at risk from your “ vaccine ” than they are from Covid ! We are being used as laboratory ! The remain in the experimental phases . Additionally , do the . There are approximately 7 , 874 , 965 , 825 people in the world . Approximately three million people world wide have of Covid . It is sad that anyone at all , BUT the number is not even close to one per cent , therefore , the universal panic is a bit odd . The rush to jab needles into our arms is insane ( and a bit suspicious ). At any rate , this Covid - 19 “ crisis , “ and resultant economic shutdown and jab - mania will , at some point , be a bad memory . Also in our memory box will be the civil right not to be under house arrest without any crime . Giving any government too much power is suicidal . This in the , and the result is unremitting against humanity ... daily ... both external to her , as well as internal to the same . The unwarranted and unprovoked by the U . S . military against innocent are well known . That which is virtually unknown are her secret against humanity within her own . I will support this last assertion a well known incident . Please recall the ominous threat which . Rice , the former National Security Advisor under President Barrack , made to the artist , Snoop . ( Rice was amongst the first chosen for ’ s Cabinet . ) ‘ Snoop , back the **** off . You come for @ Gale King , you come against an army . You will lose and it won ’ t be pretty .’ . Rice was in the world ’ s face , speaking LITERALLY and not figuratively ! Allow me to elaborate . The well over 800 ( eight hundred ) military bases ! Over FIVE HUNDRED of these bases are OUTSIDE of the ( Even in ... ?!?!?) Everywhere these military bases are , arise of 5G electromagnetic torture . EVERYWHERE ! From Japan to , from to the , the precise same of 5G EM torture . In case you are unaware that 5G electromagnetic weaponry , search under ( Active Denial System ). You will find an ancient government video which a tank which 5G electromagnetic radiation . ( If this site been scrubbed , you can still find of this equipment on media . ) The official government video that of this electromagnetic technology . Absolutely False ! 5G EM weaponry for , at least , three . There is even a miniature version small enough to fit into a man ’ s front trouser pocket and still leave room for his hand inside the same pocket . The power and range of this miniature gun can cause heart arrhythmia in the Target , and , consequently , death is a possibility . This method is used to publicly execute a Target and have the death appear to be from medical rather than a / DoD hit . ( Another rather ingenious assassination technique which been by the / DoD is food suffocation . The food or drink of the Target is a biological / chemical agent . Upon consuming the little bit of this agent , the Target ’ s throat immediately tightly up . The food is trapped in the throat ’ s passageway not the victim to breathe and leading to suffocation . The biological agent from the victim ’ s system within . Once again , We see a of assassination which the false impression that the victim was not , but rather due to an unhappy set of . As an aside , the perfected ( by the 1960 ’ s ) an extremely virulent cancer which is many times ( but not solely used to produce throat cancer . All biological and chemical assassination are perfected real , live , none volunteer . ) For information on latest weaponry read Project Soul Catcher by Scientist ( who also wrote , “ How to Tame a Demon ,” a book the / DoD program of and experimentation upon innocent ). To go forward , I must now go back a bit . Some of you may recall the apology of President Bill for the / DoD Project - Ultra . ( This apology is on . ) In his apology , President greatly the level of the human , as well as the intensity and horror , of the torture by the / DoD in Project - Ultra . Nor did he mention that routine killing of the , once they were to be “ unnecessary , “ was “ normal . “ Additionally , to mention that these / DoD were heavily reliant upon ( satanic ritual abuse ) to achieve their trauma based mind control objective . ( See the channel of , an survivor , who was sexually out to President and the Rev . Billy Graham as a child . She now a in compensation from the government . ( Intelligence - operate in these / DoD . )) also to mention that the sexual exploitation and of and is another integral part of these trauma based mind control . ( See the book ,” The Trance Formation of ,” by O ’ . . O ’ is an - Ultra survivor ( as is her child who was also sexually ). ) President solemnly that Project - Ultra would be . He lied . Project Ultra was , in fact , and EXPANDED . One offshoot of this and expansion is the Targeted Program . ( For more information on Project - Ultra , research “ The Black Vault . “ ) . S . Rice was , therefore , in front of the world , in plain sight , threatening ‪ Snoop ‬ with being in this Targeted Program . A few of the of the / DoD Slow - Kill Targeted Program are : 1 . Being , 24 / 7 , with the version of 5G EM torture . 2 . Being used as a human laboratory test for biological and chemical weaponry ( Like the two assassination above . ) 3 . Being with high which the hearing and damages the brain ( check the back of the left eat , near the jaw bone , beneath the ear lobe for something which like a lump of dry skin , that may be a chip ) 4 . none - stop subliminal into one ’ s living quarters . 5 . Being none stop subjected to extreme psychological and emotional trauma ( in addition to long distance and EM gunning ) 6 . your ( and sometimes ) 7 . Being asset stripped ( not just your money and jewelry , but everything , job , reputation , clothing , , personal telephone , e - mail , e - mail , identification , University documentation .. EVERY - THING ) 8 . During the constant home , your food and water is to facilitate the , and EM torture which they administer . ( The contaminant is probably lithium which is odorless and tasteless , and is an excellent conductor of electricity . The ’ s two long war in is not because of terrorism , but rather to obtain their lithium and other .) 9 . your body with which were meant to feed on dead , but which have been genetically by the Intelligence Agency ’ s to feed on those still alive . ( See on of two who to expose the Covid 19 virus and , as a result , were with being with these by Intelligence . The telltale sign of this infestation is the facial skin . These two now appear to be be two Black men . ) 10 . Being chipped like an animal . ( If a Targeted Individual , or , this comment and is aware of why miniature , which were the size of bees in 2008 , are sometimes used to hover over Targeted , notwithstanding the chipping please contact me .) 11 . Being subjected to V2K ... 24 / 7 . 12 . Being If you wish to research and Targeted on , please note that the / DoD have taken the precaution of most pertinent and VICE and other in amongst those of the few real produced by Targeted . 13 . your living quarters with “ smart dust ” and mold For the daily life of a victim , there is the video of Myron May . May was painted by the / DoD , and , consequently , the media as insane . Nonetheless , his video us something quite different . Watch his video . HE is SANE . ( To see his video go to search . Type in Targeted Individual Myron May . Go down to post by memory hole , , Good and . ... many are working to keep the memory , and sacrifice , of Myron May alive . )","Pfizer Children","2021-05-10"
"10024","Part Two It is of paramount importance to understand that the / DoD habitually and deliberately insert into the Targeted Program which actually mimic a psychosis . these that the Target will NOT be . I have only a FEW which form the Targeted Program . Is it any wonder that when Snoop got wind of what was in store for him , he that red , white , and blue flag scarf on his head , and most humbly . The Pentagon is missing 21 TRILLION from its massive budget . It is safe to say that a potion of this missing money went towards the Targeted program ! Vice - President Kamala as a sitting member of both the Homeland Security and Governmental Committee , as well as the Senate ’ s Select Committee on Intelligence was in all probability well aware of these against humanity being against everyday innocent . If she had this knowledge and she and her to raise an alarm given the severity of the , ( and given that she took an oath to protect the constitution against all both foreign and domestic ), then she and those sitting on these are . It worse . Many of you may be acquainted with the book , “ A Brief History of Time ,’ by the brilliant , physicist , . S . Hawking . Due to a tracheotomy , Hawking unable to speak . , then , him unable to move under his own volition . Unwilling to loose this unparalleled mind , Intelligence Hawking with a / DoD micro chip . According to . , ( stop 007 . ) when one , unbeknownst to the thinker , the vocal vibrate . When an AI chip is in the area of the vocal , this chip is able to pick up any vibration from these vocal and decode the from the brain ’ s language center . Hawking also received a computer which could speak for him after the had been accomplished . ( It is highly doubtful that Intelligence would have Hawking with this top secret equipment had he not worked for them ! There are also of Hawking on J . ’ s infamous island . worked with , and U . S . Intelligence . ( Look up Travis and to hear the Intelligence cover . )) In one of his video , made reference to the above AI chip ; the difference being that to computer of the AI translation rather than a voice translation . Unfortunately , the / DoD also another version of this technology . In the second version , not only does the chip tap into the Subject ’ s vocal and , brain language center , it also . Target ’ s have all been with this technology Have you ever why the Swiss have almost as many per citizen as the , but lack the mass ? When Rice said Snoop would lose , and it ’ t be pretty , you can see she was not exaggerating . Once one is in the program , it is for life ! NO ! My name is Hunt . I am a and a Targeted Individual . I live in C . S . , N . C . I am NOT SUICIDAL ; I am also NOT ACCIDENT PRONE . Please check and verify everything which I have written in this comment . Then PLEASE HELP TARGETED by spreading the word . Only a public outcry will stop the torture , the experimentation , and the killing . Thank you . P . S . , in his inauguration speech , made no mention of stopping the endless where a bomb is by every 12 . Over one million have in alone . did nothing to the . NOTHING ! The invasion of and war in gone on for over twenty under Republican and Democratic Administration s alike . been to the cost of countless and to the profit of none . It is time for an end to military rule in the ... , kill - happy . We have a military which is under the direct of the Security , the and the Elite . It ’ s time to put people and everywhere FIRST ! STOP the ENDLESS KILLING !!!","Pfizer Children","2021-05-10"
"10025","Part Two It is of paramount importance to understand that the / DoD habitually and deliberately insert into the Targeted Program which actually mimic a psychosis . these that the Target will NOT be . I have only a FEW which form the Targeted Program . Is it any wonder that when Snoop got wind of what was in store for him , he that red , white , and blue flag scarf on his head , and most humbly . The Pentagon is missing 21 TRILLION from its massive budget . It is safe to say that a potion of this missing money went towards the Targeted program ! Vice - President Kamala as a sitting member of both the Homeland Security and Governmental Committee , as well as the Senate ’ s Select Committee on Intelligence was in all probability well aware of these against humanity being against everyday innocent . If she had this knowledge and she and her to raise an alarm given the severity of the , ( and given that she took an oath to protect the constitution against all both foreign and domestic ), then she and those sitting on these are . It worse . Many of you may be acquainted with the book , “ A Brief History of Time ,’ by the brilliant , physicist , . S . Hawking . Due to a tracheotomy , Hawking unable to speak . , then , him unable to move under his own volition . Unwilling to loose this unparalleled mind , Intelligence Hawking with a / DoD micro chip . According to . , ( stop 007 . ) when one , unbeknownst to the thinker , the vocal vibrate . When an AI chip is in the area of the vocal , this chip is able to pick up any vibration from these vocal and decode the from the brain ’ s language center . Hawking also received a computer which could speak for him after the had been accomplished . ( It is highly doubtful that Intelligence would have Hawking with this top secret equipment had he not worked for them ! There are also of Hawking on J . ’ s infamous island . worked with , and U . S . Intelligence . ( Look up Travis and to hear the Intelligence cover . )) In one of his video , made reference to the above AI chip ; the difference being that to computer of the AI translation rather than a voice translation . Unfortunately , the / DoD also another version of this technology . In the second version , not only does the chip tap into the Subject ’ s vocal and , brain language center , it also . Target ’ s have all been with this technology Have you ever why the Swiss have almost as many per citizen as the , but lack the mass ? When Rice said Snoop would lose , and it ’ t be pretty , you can see she was not exaggerating . Once one is in the program , it is for life ! NO ! My name is Hunt . I am a and a Targeted Individual . I live in C . S . , N . C . I am NOT SUICIDAL ; I am also NOT ACCIDENT PRONE . Please check and verify everything which I have written in this comment . Then PLEASE HELP TARGETED by spreading the word . Only a public outcry will stop the torture , the experimentation , and the killing . Thank you . P . S . , in his inauguration speech , made no mention of stopping the endless where a bomb is by every 12 . Over one million have in alone . did nothing to the . NOTHING ! The invasion of and war in gone on for over twenty under Republican and Democratic Administration s alike . been to the cost of countless and to the profit of none . It is time for an end to military rule in the ... , kill - happy . We have a military which is under the direct of the Security , the and the Elite . It ’ s time to put people and everywhere FIRST ! STOP the ENDLESS KILLING !!!","Pfizer Children","2021-05-10"
"10026","Disgusting","Pfizer Children","2021-05-10"
"10027","If you try to put that poison in to one of my , I will find you .","Pfizer Children","2021-05-11"
"10028","are next","Pfizer Children","2021-05-10"
"10029","People are ignorant ! Stop needles in arms . God gave us an immune system .","Pfizer Children","2021-05-10"
"10030","Big brother","Pfizer Children","2021-05-10"
"10031","If I had a child I would recommend it","Pfizer Children","2021-05-10"
"10032",".","Pfizer Children","2021-05-09"
"10033","Let ' s see the insert for the ..... x that can ' t be . The insert is blank . More have from the "" shot "" then the . Why is it a shot and not a ... x ? Untested , . It will attack your protein . My best friend got it .... I him . He to prove me wrong . He within 15mins of taking his second shot , going to his funnel next week . tell no tales . No thanks .","Pfizer Children","2021-05-09"
"10034","like can get once get .","Pfizer Children","2021-05-09"
"10035","Never ... ever ... get the vaccine","Pfizer Children","2021-05-09"
"10036","Let the Good Lord help us and our !! So up that the government is us and our as Guinea !!!","Pfizer Children","2021-05-09"
"10037","","Pfizer Children","2021-05-09"
"10038","Do not vaccinate your with this poison . It was by Bill to depopulate the planet . Check the receipts on his name . Bill is very evil . Don ' t be by his outward appearance , and fake humanitarian of kindness . He you , and your dead . There ' s too many people in the planet . will not accept anyone whose the image of God within them . They will be from God for all eternity . Do not take the vaccine . This is for your own good . I ' seen . He is real . He is coming back very soon to rapture His people . Millions of will be taken , and I ' m thankful to God , many are foolish .","Pfizer Children","2021-05-11"
"10039","Yet never ! Will I take against a stupid man made flu with a 99 % survival rate you are insane and you should be ashamed of yourselves","Pfizer Children","2021-05-08"
"10040","Super","Pfizer Children","2021-05-08"
"10041","Tra ’ C ’ ’ ....","Pfizer Children","2021-05-08"
"10042","They are more black people in these .","Pfizer Children","2021-05-08"
"10043","Make sure we these news so when we start rounding up these there will be no when we you child in the ! Your ignorance will not be an excuse . Your will be unimaginable . We are & our . No mercy to all of the who this holocaust vaccine produced by","Pfizer Children","2021-05-08"
"10044","are not getting sick , why do they need this ? 60 % of covid positive now have received at least one dose of the vaccine","Pfizer Children","2021-05-08"
"10045","1 : 10 . IF HIS GET SICK AND DIE FROM THE VACCINE HIS ASS SHOULD BE LIABLE . LOOK HOW SMUG HE . HE FULL WELL HE IS ON HIS , THAT THE CAUSE BLOOD THAT KILL , AND THAT THE DONT EVEN WORK BECAUSE THEY ONLY PROTECT AGAINST 1 VARIANT AND NOT ALL .","Pfizer Children","2021-05-08"
"10046","THIS IS SICK . THIS VACCINE IS NOT BY THE . IT IS ONLY FOR EMERGENCY USE . ITS NOT EVEN TECHNICALLY A VACCINE . THE VACCINE INSERT FOR THE VACCINE IS JUST A BLANK PIECE OF PAPER . ITS IS PURELY EXPERIMENTAL . ALL PREVIOUS ( ) ALL LAB . THIS IS SICK TO BE GIVING TO TO . I WOULD EXPECT NO LESS FROM THE JOE ADMINISTRATION .","Pfizer Children","2021-05-08"
"10047","Whoever is really responsible for this will burn in 20 , 000","Pfizer Children","2021-05-08"
"10048","So sad !","Pfizer Children","2021-05-08"
"10049","thats SO evil ..... as an experiment for an emergency use authorization ( experimental ) unapproved -","Pfizer Children","2021-05-08"
"10050","Thank God !!!","Pfizer Children","2021-05-07"
"10051",". They the clinical trial on 3 ago . That ’ s nice .","Pfizer Children","2021-05-24"
"10052","expanded the EMERGENCY USE AUTHORIZATION ( ) ( NOT SAFE NO LONG TERM STUDY ) for the - COVID - 19 Vaccine Gene 🧬 Therapy for 12 - 15 of age . to be experimented on . You FORFEIT all if your child ' s is HURT or D it ' s your problem .","Pfizer Children","2021-05-11"
"10053","don ' t need a vaccine for something with a 99 . 9 % recovery rate ! Stop what the and open a book !","Pfizer Children","2021-05-20"
"10054","No way ...","Pfizer Children","2021-05-07"
"10055","Here come the by","Pfizer Children","2021-05-07"
"10056","It me that none of these or “ ” as this show it ever other side of a topic . It ’ s all left winged . So why not use your platform to bring ALL to the table not just ? Because I feel these ’ t themselves to learn how the rest of outside their bubble are living .","Pfizer Children","2021-05-09"
"10057","I believe the question we need to ask is why so many of us distrust our ? Because that ' s the root of this issue , and many more ...","Pfizer Children","2021-05-07"
"10058",", toilet paper . Locate the with 2 ply . Then make them a part of weekly routine ...","Pfizer Children","2021-05-06"
"10059","","Pfizer Children","2021-05-08"
"10060","scary ! No !!! Don ’ t mess up with the robust immune of !","Pfizer Children","2021-05-07"
"10061","sa covid at normal immunity pa ? May something na sa . para lifetime sa na parang kung mag .","Pfizer Children","2021-05-07"
"10062","Population reduction that ' s the agenda of bill who these . In 3 the death rate will just rise up na natural Immune system na sa na immune system tao sa vaccine . At sa health tao at di sa ... Si ay devil .","Pfizer Children","2021-05-07"
"10063","Thanks D .... always eloquent and highest pointer ...","Pfizer Children","2021-05-06"
"10064","WHEN IS 11 AND UNDER COMING ! I GO BACK TO SCHOOL","Pfizer Children","2021-05-24"
"10065","And no parental approval","Pfizer Children","2021-05-22"
"10066","This is disgusting and child abuse","Pfizer Children","2021-05-21"
"10067","Great decision","Pfizer Children","2021-05-07"
"10068","Child sacrifice","Pfizer Children","2021-05-06"
"10069","In a public comment to the , molecular biologist and toxicologist . , . D ., to immediately halt Covid vaccine production and distribution . fertility , blood - ( ), and immune escape , . to the committee the scientific evidence showing that the are not safe . You can listen to her testimony on ( for now , anyway . If this link goes viral , will likely censor it ).","Pfizer Children","2021-05-06"
"10070","Canada all that / misinformation on the vaccine to ban its use ! This is a very good vaccine , produced in too .","Pfizer Children","2021-05-06"
"10071","And the sterilization","Pfizer Children","2021-05-06"
"10072","This is child abuse","Pfizer Children","2021-05-06"
"10073","to pay $ 60M to settle foreign bribery case in 2012","Pfizer Children","2021-05-06"
"10074","great news","Pfizer Children","2021-05-06"
"10075","change","Pfizer Children","2021-05-06"
"10076","Man a white coat , you let him stick you with a needle . Works for a big drug pusher .. 🤔 Roadman brown .. Works for a big drug pusher","Pfizer Children","2021-05-06"
"10077","Don ' t Do It !","Pfizer Children","2021-05-06"
"10078","If 🇨🇳 are good enough , why ' t the WHO approve them ? - Obviously they are just .","Pfizer Children","2021-05-06"
"10079","the next generation of !!!","Pfizer Children","2021-05-06"
"10080","This is a genocidal shot . It already over 10 , 000 . People in US , , & , per / . Many more will die . It is a .","Pfizer Children","2021-05-06"
"10081","Is it trustworthy ?","Pfizer Children","2021-05-06"
"10082","good","Pfizer Children","2021-05-06"
"10083","remember ALL CORONA ARE EXPERIMENTAL .... you are forcing your child to be THE lab rat . Be wise ... think this and say NO . protect your from these evil & their puppet .","Pfizer Children","2021-05-06"
"10084","Rich vaccine ...","Pfizer Children","2021-05-06"
"10085","blood .. made pay","Pfizer Children","2021-05-06"
"10086","No","Pfizer Children","2021-05-06"
"10087","like when God said ALL , He meant ALL ...","Pfizer Children","2021-05-06"
"10088","Have you had a chance to weigh this ? Revelation 6 : 2 . Behold , a white horse , and he that sat on him had a bow ; and a crown was given unto him ......... bow .... Strong ’ s G5115 to .. a bow or an arrow ...... then to as an arrow dipped in poison ..... its an odd coincidence . Arrow and a corona ..... This would change some in my opinion . The white horse is riding ? Now ?","Pfizer Children","2021-05-07"
"10089",":// . be / U73wdIA1CNg Dont know if you ' seen this one ... theyll try every trick","Pfizer Children","2021-05-06"
"10090","Fighting for :// . . / / - - gold - the - fight - against - medical - corruption #. YJM2omdoOZg .","Pfizer Children","2021-05-06"
"10091","All !!!","Pfizer Children","2021-05-06"
"10092","@ 2 : 09 - . = = 6 11 = 6 * 11 = 66","Pfizer Children","2021-05-06"
"10093","are future of growing so of Sh . ( government ) provide vaccine as as possible ' and at any cost","Pfizer Children","2021-05-11"
"10094","🇪🇬🇪🇬🇪🇬🚩♥ ा ा ा ा ै। ैं े ा ूँ। । ीं। ी । े ा । े े ा। ा े ु ु ु ् । ै ें । ा े ि ां ि। ै । ् । ी। ा । ो ा । ा ा- ि ा। े। े । ा । े ा ि ा । े। ि ् े। े ् । ़ा। े ् । ़ा। 🇮🇳","Pfizer Children","2021-05-06"
"10095","🤣😂🤣😅 protect in their own household for god are you ever not a smart one","Pfizer Children","2021-05-07"
"10096","Hey why don ' t you cry for the baby that got its head beat in with your porta when you tried to kill us all downtown East End with porta lined up in the summer not even self this is the lot of people in it . , do you cry for old people that are already had a life 😬 I ' m so sick of seeing this Witch face in her propaganda","Pfizer Children","2021-05-07"
"10097","🤢🤮 can you let everybody know about the that did not make out of the vaccination trial alive or is that a secret in the Communist world that we all live in now because idiot gave up our freedom without a question and without a fight .","Pfizer Children","2021-05-07"
"10098","","Pfizer Children","2021-05-06"
"10099","' s gene therapy vaccine : Now for school ? :// . be / _4vZ76FWvDM","Pfizer Children","2021-05-06"
"10100","OUT ! out with that filth !!!!!","Pfizer Children","2021-05-08"
"10101","Nope , still not doing it . I ' m not getting it and I won ' t do it to my either . The school system ' t need to create any to "" get younger "". It ' s not their job NOR is it their decision ! It ' s up to the to make that decision !","Pfizer Children","2021-05-06"
"10102","Did you dig in , really ? Because this like a low budget commercial with sh * try . Every news - person here ought to be ashamed , shilling these ' when they know all of this is rushed in relation to other . You could ' hesitancy by tough to the about short / long term side effects , actual chance of immunity after , . Instead you put your on to feed us the same corporate line , which is just creepy and ineffectual .","Pfizer Children","2021-05-06"
"10103","::: Sad that we are to put our trust in a that can cause such serious side effects , and risk dangerous viral transmission to anyone close by , when there are so many safe .","Pfizer Children","2021-05-06"
"10104","How many have had Covid ? How serious was their ? How many in this age group ? The are low . ..... no , positive are not . Blunder , resign now ! New1130 , start some tough and stop the propaganda . Show us the data , stop the . is a disgrace as she is not data , science or common sense . Resign now .","Pfizer Children","2021-05-06"
"10105","expanded the EMERGENCY USE AUTHORIZATION ( ) ( NOT SAFE NO LONG TERM STUDY ) for the - COVID - 19 Vaccine Gene 🧬 Therapy for 12 - 15 of age . to be experimented on . You FORFEIT all if your child ' s is HURT or D it ' s your problem .","Pfizer Children","2021-05-11"
"10106","The more the more money for the behind this covid scam","Pfizer Children","2021-05-07"
"10107","Ouch ! no poison for me !","Pfizer Children","2021-05-06"
"10108","...... I ' m not all that .","Pfizer Children","2021-05-05"
"10109","When your begin dying because of your decision , don ' t cry or look for a responsible party to it , YOU ARE AT FAULT !","Pfizer Children","2021-05-05"
"10110","Where ' s the Research ?","Pfizer Children","2021-05-05"
"10111","Nice . As a myself , I am looking forward to getting a vaccine .","Pfizer Children","2021-05-20"
"10112",":// academic . logos . / the - covid - vaccine - - 666 - written - all - over - it - and - why - that - doesnt - matter - according - to - revelation /","Pfizer Children","2021-05-11"
"10113","How many of those had false positive test ?","Pfizer Children","2021-05-09"
"10114","abortion with a chance of surviving , but it ' s for !","Pfizer Children","2021-05-09"
"10115","Our and TAM is FORKED","Pfizer Children","2021-05-07"
